Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2017-0363-CHN,2017,0363,Natural,Hydrological,Landslide,Landslide,,,Kill,China,CHN,Eastern Asia,Asia,Bijie (Guizhou province),,,,,,,,,,,,,,2017,8,28,2017,8,28,35,8,,750,758,,,2300,95.87816577
2017-0201-CHN,2017,0201,Natural,Hydrological,Landslide,Rockfall,,,Kill,China,CHN,Eastern Asia,Asia,"Xinmo (Mao County, Ngawa Prefecture, Sichuan)",,,,,,,,8000000,,,,05:38,,2017,6,23,2017,6,23,83,,400,,400,,,,95.87816577
2017-0281-CHN,2017,0281,Natural,Meteorological,Storm,Tropical cyclone,,Tropical Storm Talas,Affected,China,CHN,Eastern Asia,Asia,Hainan Island,,,,,,,,,Kph,,,,,2017,7,16,2017,7,17,,,30000,,30000,,,3600,95.87816577
2017-0326-CHN,2017,0326,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Nesat & Haitang,Affected,China,CHN,Eastern Asia,Asia,Fujian province,,,,,,,,,Kph,,,,,2017,8,3,2017,8,3,,,13200,600,13800,,,57000,95.87816577
2017-0485-CHN,2017,0485,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Pakhar'/'Jolina',Affected,China,CHN,Eastern Asia,Asia,"Guangdong, Fujian, Guangxi Zhuang, Hainan, Yunnan",,,,,,,,,Kph,,,,,2017,8,27,2017,8,27,12,,300,,300,,,56000,95.87816577
2017-9206-CHN,2017,9206,Natural,Climatological,Drought,Drought,,,Declar,China,CHN,Eastern Asia,Asia,"Northeast China, North China Plain, Inner Mongolia, Hebei, Liaoning","Lack of rain, dry conditions.",,,,,Yes,,,Km2,,,,,2017,4,,2017,6,,,,2000000,,2000000,,,122000,95.87816577
2017-0254-CHN,2017,0254,Natural,Hydrological,Flood,,,,Kill,China,CHN,Eastern Asia,Asia,"Sichuan, Yunnan, Chongqing, Guizhou, Hubei, Hunan, Jiangxi, Zhejiang,Fujian provinces",,,,,,,,,Km2,,,,,2017,6,8,2017,6,12,11,,23700,10800,34500,,,115000,95.87816577
2017-0287-CHN,2017,0287,Natural,Hydrological,Flood,,,,Kill,China,CHN,Eastern Asia,Asia,"Jiangsu, Shandong, Henan, Hubei, Shaanxi",Severe Weather,,,,,,,,Km2,,,,,2017,7,17,2017,7,20,12,,9600,,9600,,,37000,95.87816577
2017-0372-CHN,2017,0372,Natural,Hydrological,Flood,,,,Kill,China,CHN,Eastern Asia,Asia,"Gansu, Jilin, Liaoning, Heilongjiang, Shandong, Henan, Hubei, Sichuan (Chengdu, Luzhou, and Deyang) provinces",Mei-Yu,,,,,,,,Km2,,,,,2017,8,8,2017,8,9,40,,45000,,45000,,,315000,95.87816577
2017-0398-CHN,2017,0398,Natural,Hydrological,Flood,,,,Affected,China,CHN,Eastern Asia,Asia,"Loess Plateau, Southern Shaanxi (Xianyang, Hanzhong, Ankang), western Hubei (Suizhou and Guangshui cities), southern Sichuan, northern portions of Chongqing (Kaizhou, Yunyang)",Heavy rains,,,,,,,283444,Km2,29.612,113.645,,,2017,9,24,2017,10,7,16,,53100,8400,61500,,,361000,95.87816577
2017-0476-CHN,2017,0476,Natural,Hydrological,Flood,,,,Kill,China,CHN,Eastern Asia,Asia,"Chongqing, Guangxi Zhuang, Guizhou, Henan, Hubei, Hunan, Jiangxi, and Yunnan",,,,,,,,,Km2,,,,Yangtze river,2017,8,11,2017,8,16,18,,34200,3600,37800,,,429000,95.87816577
2017-0568-CHN,2017,0568,Natural,Hydrological,Flood,,,,Affected,China,CHN,Eastern Asia,Asia,Yulin city (Shaanxi province),,,,,,,,,Km2,,,,,2017,4,26,2017,4,29,8,,76800,,76800,,,492000,95.87816577
2017-0560-CIV,2017,0560,Natural,Biological,Epidemic,Viral disease,,Dengue,Affected,Côte d’Ivoire,CIV,Western Africa,Africa,Abidjan,,,,,,Yes,,,Vaccinated,,,,,2017,4,22,2017,7,11,2,621,,,621,,,,95.87816577
2017-0367-CMR,2017,0367,Natural,Hydrological,Flood,Flash flood,,,Affected,Cameroon,CMR,Middle Africa,Africa,"Santchou, Bebong, Fondo Nera, Echiok, Nden-Ofoungouo, Fosso Ouasen Menoua Division",Heavy rains,,,,,,,,Km2,,,,,2017,8,4,2017,8,29,3,,12890,,12890,,,,95.87816577
2017-0119-COL,2017,0119,Natural,Hydrological,Landslide,Landslide,,,Kill,Colombia,COL,South America,Americas,Manizales (Caldes),Torrential rains,,,,,,,,,,,,,2017,4,17,2017,4,21,20,23,489,,512,,,2000,95.87816577
2017-0090-COL,2017,0090,Natural,Hydrological,Landslide,Mudslide,,,Kill,Colombia,COL,South America,Americas,"San Fernando, San Miguel, Independencia, Chaparros, San Agustín, Naranjito,Pablo VI, Avenida 17 de Julio, Miraflores, Progres (Mocoa); Putumayo Department",Torrential rain,,,,,Yes,,,,,,,"Mocoa, Sangoyaco, Mulato rivers",2017,3,31,2017,4,1,329,360,45000,,45360,,,100000,95.87816577
2017-0223-COL,2017,0223,Natural,Hydrological,Flood,,,,Affected,Colombia,COL,South America,Americas,"Cundinamarca (Guacheta), Huila (Rivera), Antioquia (Medellin, Itagui, Aburra Valley) departments",Heavy rains,,,,,,,128597,Km2,3.723,-72.674,,"Amuladero, Frio and Neiva rivers",2017,2,23,2017,3,3,1,,2000,,2000,,,,95.87816577
2017-0225-COL,2017,0225,Natural,Hydrological,Flood,,,,Affected,Colombia,COL,South America,Americas,"Nariño Department (Olaya Herrera, Arboleda, Barbacoas, Roberto Payán, Magui Payán, Policarpa, Santa Bárbara de Iscuandé, Tumaco)",Heavy rains,,,,,,,117321,Km2,1.691,-76.286,,"Sanquianga, Quebrada Las Palmas, Telembí, Iscuandé, Mira",2017,1,5,2017,2,7,,,25646,15,25661,,,,95.87816577
2017-0341-CZE,2017,0341,Natural,Meteorological,Storm,Convective storm,Derecho,,Affected,Czech Republic (the),CZE,Eastern Europe,Europe,"Northern, Southern and Central Moravia, eastern Bohemia (Kromeriz, Bohuslavice)",,,,,,,,,Kph,,,,,2017,8,10,2017,8,11,,,,,,,,2900,95.87816577
2017-0565-DEU,2017,0565,Natural,Meteorological,Storm,Convective storm,Hail,,SigDam,Germany,DEU,Western Europe,Europe,"Harburg District in Niedersachsen, Sachsen-Anhalt, Brandenburg, Sachsen",,,,,,,,,Kph,,,,,2017,6,22,2017,6,23,2,,,,,,570000,740000,95.87816577
2017-0310-DEU,2017,0310,Natural,Hydrological,Flood,Riverine flood,,,Affected,Germany,DEU,Western Europe,Europe,"Hildesheim in Niedersachsen, districts surrounding the mountain range of Harz, Goslar district, Rhüden, Goslar, Bad Harzburg, Wernigerode in Harz district, Sachsen-Anhalt, Thuringia",Low pressure Alfred,,,,,,,,Km2,,,,Gose and Abzucht rivers,2017,7,24,2017,7,27,,,600,,600,,,,95.87816577
2017-0137-DOM,2017,0137,Natural,Meteorological,Storm,,,,Affected,Dominican Republic (the),DOM,Caribbean,Americas,"Santo Domingo, San Cristóbal, Monte Plata, Sánchez Ramírez, Duarte and Barahona provinces",,,,,,,,,Kph,,,,"Ozama, Yuna, Cevicos, Manoguayabo, Haina rivers",2017,4,20,2017,4,23,,,10260,27,10287,,,,95.87816577
2018-0082-ALB,2018,0082,Natural,Hydrological,Flood,,,,Waiting,Albania,ALB,Southern Europe,Europe,"Obot, Shtiq, Mushan, Fushe-Kruje (Shkodra region)","Heavy rains, elting snow","Slide (land, mud, snow, rock)",Broken Dam/Burst bank,,,,,10317,Km2,40.866,19.941,,"Drin, Bojana river",2018,3,5,2018,3,9,,,800,,800,,,,98.21999062
2018-0040-BRA,2018,0040,Natural,Hydrological,Flood,,,,Waiting,Brazil,BRA,South America,Americas,Rio de Janeiro,Heavy rains,Collapse,Flood,,,,,55139,Km2,-22.479,-44.095,,,2018,2,14,2018,2,16,4,,250,,250,,,10000,98.21999062
2018-0170-CUB,2018,0170,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Alberto',Affected,Cuba,CUB,Caribbean,Americas,"Ciego de Avila, Sancti Spiritus et Villa Clara, Matanzas, Pinar del Rio, Cienfuegos",,Flood,Oil spill,,,,,,Kph,,,,,2018,5,29,2018,6,2,9,,40000,,40000,,,,98.21999062
2018-0203-BGD,2018,0203,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,"Cox’s Bazar,Rangamati",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2018,6,5,2018,6,14,14,,,,,,,,98.21999062
2018-0062-BOL,2018,0062,Natural,Hydrological,Flood,Flash flood,,,Affected,Bolivia (Plurinational State of),BOL,South America,Americas,"Tarija, Cochabamba,",Heavy rains,"Slide (land, mud, snow, rock)",,,,,,245648,Km2,-14.405,-64.013,,,2018,2,10,2018,2,21,6,186,12000,,12186,,,,98.21999062
2018-0396-COL,2018,0396,Natural,Hydrological,Flood,,,,Affected,Colombia,COL,South America,Americas,"La Guajira, Caldas departments",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2018,10,1,2018,10,17,12,,60000,,60000,,,,98.21999062
2018-0374-CRI,2018,0374,Natural,Hydrological,Flood,,,,Affected,Costa Rica,CRI,Central America,Americas,"Lepanto, Paquera, Puntarenas districts; Tárcoles, Garabito, Parrita, Quepos districts",,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,"Naranjo, División Saveegre, Tempisque, Abangares Rivers",2018,10,2,2018,10,11,1,,125190,,125190,,,,98.21999062
2018-0299-CAN,2018,0299,Natural,Climatological,Wildfire,Forest fire,,,Declar,Canada,CAN,Northern America,Americas,Colombie-Britannique,,Pollution,,,,Yes,,,Km2,,,,,2018,7,,2018,8,,,,3000,,3000,,,,98.21999062
2018-0439-ARG,2018,0439,Natural,Hydrological,Flood,Flash flood,,,Affected,Argentina,ARG,South America,Americas,"Lomas de Zamora, La Matanza, Lobos, La Plata, Arrecifes, Marcos Paz, Lanus (Buenos Aires Province)",Heavy rains,Storm,,,,,,,Km2,,,,,2018,11,12,2018,11,12,,,1420,,1420,,,,98.21999062
2018-0282-CHN,2018,0282,Natural,Hydrological,Flood,Riverine flood,,,Kill,China,CHN,Eastern Asia,Asia,,,Storm,,,,,,,Km2,,,,Yangtze River basin,2018,6,28,2018,7,5,11,,36000,,36000,,,278000,98.21999062
2018-0198-CHN,2018,0198,Natural,Hydrological,Flood,,,,Kill,China,CHN,Eastern Asia,Asia,"Sichuan, Gansu, Chongqing, Hubei, Jiangsu, Guizhou, Anhui, Shaanxi, Henan, Fujian",,Storm,,,,,,,Km2,,,,Yangtze River Basin,2018,5,5,2018,7,31,112,,450000,,450000,,,1750000,98.21999062
2018-0131-COL,2018,0131,Natural,Hydrological,Flood,,,,Kill,Colombia,COL,South America,Americas,"Norte de Santander, Cundinamarca, Choco, Narino, Tolima, Santander, Antioquia, Boyaca, Valle del Cauca",Heavy rains,Storm,,,,,,,Km2,,,,,2018,3,12,2018,4,17,14,,,,,,,,98.21999062
2018-0053-CHN,2018,0053,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Affected,China,CHN,Eastern Asia,Asia,"Anhui, Hunan, Hubei, Jiangsu",,Cold wave,,,,,,,Kph,,,,,2018,1,24,2018,1,29,2,,7500,,7500,,,1450000,98.21999062
2018-0161-ARG,2018,0161,Natural,Meteorological,Storm,Convective storm,,,Affected,Argentina,ARG,South America,Americas,"La Matanza, Quilmes, Padre Varela de Luján,Lomas de Zamora districts (Buenos Aires)",,Flood,,,,,,130,Kph,-35.21,-58.199,,,2018,4,28,2018,4,29,2,,1200,,1200,,,,98.21999062
2018-0285-CHN,2018,0285,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Maria' (Gardo),Affected,China,CHN,Eastern Asia,Asia,Fujian province,,Flood,,,,,,,Kph,,,,,2018,7,10,2018,7,11,,,45000,,45000,,,490000,98.21999062
2018-0305-CHN,2018,0305,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Bebinca',Kill,China,CHN,Eastern Asia,Asia,"Guangdong, Hainan Provinces",,Flood,,,,,,,Kph,,,,,2018,8,15,2018,8,15,2,,,300,300,,,188000,98.21999062
2018-0347-CHN,2018,0347,Natural,Meteorological,Storm,Tropical cyclone,,Tropical Storm Yagi,Affected,China,CHN,Eastern Asia,Asia,"Zhejiang, Anhui, Jiangsu, Shandong provinces",,Flood,,,,,,,Kph,,,,,2018,8,12,2018,8,12,3,,2400,,2400,,,367000,98.21999062
2018-0348-CHN,2018,0348,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm Rumbia,Affected,China,CHN,Eastern Asia,Asia,"Shanghai, Jiangsu, Zhejiang, Anhui, Shandong, Henan",,Flood,,,,,,,Kph,,,,,2018,8,15,2018,8,17,53,,39600,,39600,,,5400000,98.21999062
2018-0145-DJI,2018,0145,Natural,Meteorological,Storm,Tropical cyclone,,Cyclone 'Sagar',Kill,Djibouti,DJI,Eastern Africa,Africa,,,Flood,,,,,,,Kph,,,,,2018,5,20,2018,5,21,2,,25000,,25000,,,,98.21999062
2018-9278-AFG,2018,9278,Natural,Climatological,Drought,Drought,,,SigDis,Afghanistan,AFG,Southern Asia,Asia,"Badghis, Daykundi, Hirat, Ghor, Daykundi, Badakhshan, Farah, Helmand, Kandahar, Zabul, Nangarhar",,Food shortage,,,,Yes,,,Km2,,,,,2018,4,,2019,7,,,,13500000,,13500000,,,,98.21999062
2018-0002-ESP,2018,0002,Natural,Meteorological,Storm,Convective storm,Severe storm,Eleanor,Waiting,Spain,ESP,Southern Europe,Europe,"Pays Basque, Deba, Mutriku",,Surge,,,,,,160,Kph,,,,,2018,1,3,2018,1,4,2,,,,,,,,98.21999062
2018-0002-CHE,2018,0002,Natural,Meteorological,Storm,Convective storm,Severe storm,Eleanor,Waiting,Switzerland,CHE,Western Europe,Europe,"Fribourg (west), Bern (Lenk), Luzern, Zurich, Zug, Nidwalden, Schwyz, Pizol (Sankt Gallen)",,Transport accident,,,,,,163,Kph,,,,,2018,1,3,2018,1,4,,16,,,16,,16300,,98.21999062
2018-0025-DEU,2018,0025,Natural,Meteorological,Storm,Extra-tropical storm,,'Friederike' (David),Kill,Germany,DEU,Western Europe,Europe,"Nordrhein-Westfalen (Emmerich-Elten, Ratingen-Dusseldorf ), Saxe-Anhalt, Thuringen, Brandenburg (Cottbus), Mecklemburg-Vorpommem,",,Transport accident,,,,,,130,Kph,,,,,2018,1,17,2018,1,18,5,12,,,12,,,588475,98.21999062
2018-0350-AFG,2018,0350,Natural,Hydrological,Flood,Flash flood,,,Kill,Afghanistan,AFG,Southern Asia,Asia,Ghazi-Abad district (Kunar province),,,,,,,,,Km2,,,,,2018,8,24,2018,8,24,11,,,,,,,,98.21999062
2018-0189-AFG,2018,0189,Natural,Hydrological,Landslide,Mudslide,,,Kill,Afghanistan,AFG,Southern Asia,Asia,khenj district (Panjshir),,,,,,,,,,,,,,2018,7,12,2018,7,12,12,,,,,,,,98.21999062
2018-0242-AFG,2018,0242,Natural,Hydrological,Landslide,Mudslide,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Peshghor (Khenj district, Panjshir)",,,,,,,,,,,,,,2018,7,12,2018,7,12,10,,2750,,2750,,,,98.21999062
2018-0156-AFG,2018,0156,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,,Torrential Rain,,,,,,,184397,Km2,34.94,68.216,,,2018,5,9,2018,5,22,72,,4000,,4000,,,,98.21999062
2018-0212-AFG,2018,0212,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,,,,,,,,,,Km2,,,,,2018,5,7,2018,5,15,18,,,,,,,,98.21999062
2018-0104-AGO,2018,0104,Natural,Hydrological,Flood,Flash flood,,,Affected,Angola,AGO,Middle Africa,Africa,"Luanda, Cuando Cubango, Cuanza Norte",Heavy rains,,,,,,,462991,Km2,-11.247,16.007,,,2018,2,22,2018,3,3,8,,3000,,3000,,,,98.21999062
2018-0436-AGO,2018,0436,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Affected,Angola,AGO,Middle Africa,Africa,Papelao (Uige province),,,,,,,,,Vaccinated,,,,,2018,10,9,2018,11,12,2,,139,,139,,,,98.21999062
2018-9075-ARG,2018,9075,Natural,Climatological,Drought,Drought,,,SigDis,Argentina,ARG,South America,Americas,"Buenos Aires, Cordoba, Santa Fe, Pampa, Santiago del Estero provinces",,,,,,,,,Km2,,,,,2018,1,,2018,3,,,,,,,,,3400000,98.21999062
2018-0038-ARG,2018,0038,Natural,Hydrological,Flood,,,,Affected,Argentina,ARG,South America,Americas,Chaco and Salta Province,,,,,,,,234623,Km2,,,,"Bermejo, Pilcomayo Rivers",2018,1,31,2018,2,21,,,17000,,17000,,,,98.21999062
2018-0074-ARG,2018,0074,Natural,Hydrological,Flood,,,,Affected,Argentina,ARG,South America,Americas,"Santa Mónica, Tiro Federal, Ginés Benítez, Monseñor de Carlo, Santa Elena, Hipólito Yrigoyen, Sáenz Peña, Milenium, San José, Piñeiro, Nala, Pablo VI, Quinta Ocho (Chaco) -> all in Presidencia Roque Sáenz Peña",,,,,,,,,Km2,,,,,2018,1,20,2018,1,20,,,45000,,45000,,,,98.21999062
2018-0480-ARM,2018,0480,Natural,Meteorological,Storm,Convective storm,Hail,,Affected,Armenia,ARM,Western Asia,Asia,Shirak region,,,,,,,,,Kph,,,,,2018,8,17,2018,8,18,,,9900,,9900,,,1822,98.21999062
2018-0459-AUS,2018,0459,Natural,Meteorological,Extreme temperature,Heat wave,,,SigDis,Australia,AUS,Australia and New Zealand,Oceania,,,,,,,,,49,°C,,,,,2018,12,,2019,1,,,,,,,,,,98.21999062
2018-9258-AUS,2018,9258,Natural,Climatological,Drought,Drought,,,SigDis,Australia,AUS,Australia and New Zealand,Oceania,"New South Wales, Victoria , Queensland",Lack of rainfall and anomalous warmth,,,,,,,,Km2,,,,,2018,1,,2018,8,,,,,,,,,1200000,98.21999062
2018-0123-AUS,2018,0123,Natural,Hydrological,Flood,,,,Affected,Australia,AUS,Australia and New Zealand,Oceania,"Ingham, Halifax, Innisfail (Northern Queensland)",,,,,,Yes,,105583,Km2,-17.015,145.218,,,2018,3,9,2018,3,11,,,600,,600,,,11400,98.21999062
2018-0065-BDI,2018,0065,Natural,Hydrological,Flood,Flash flood,,,Affected,Burundi,BDI,Eastern Africa,Africa,"Rugombo, Mpinga-Kayove, Bujumbura Mairie, Bujumbura Rural, Bururi, Ruyigi provinces",Heavy rains,,,,,,,18675,Km2,-3.47,29.987,,,2018,1,14,2018,1,24,,,12000,,12000,,,,98.21999062
2018-0163-BDI,2018,0163,Natural,Hydrological,Flood,,,,Affected,Burundi,BDI,Eastern Africa,Africa,Bujumbura,Torrential Rain,,,,,,,8959,Km2,-4.015,29.641,,,2018,4,28,2018,5,1,,,2576,,2576,,,,98.21999062
2018-0479-BDI,2018,0479,Natural,Hydrological,Flood,,,,Affected,Burundi,BDI,Eastern Africa,Africa,"Gaharawe, Mushasha I, Mushasha II, Muyange I, Muyange II, Kinyinya I, Kinyinya II, Warubondo, Vugizo (Gatumba)",Intense rain,,,,,,,,Km2,,,,,2018,5,4,2018,5,9,,,12956,,12956,,,,98.21999062
2018-0025-BEL,2018,0025,Natural,Meteorological,Storm,Extra-tropical storm,,'Friederike' (David),Kill,Belgium,BEL,Western Europe,Europe,Grez-Doiceau,,,,,,,,130,Kph,,,,,2018,1,17,2018,1,18,1,,,,,,,,98.21999062
2018-0235-BEL,2018,0235,Natural,Meteorological,Extreme temperature,Heat wave,,,Waiting,Belgium,BEL,Western Europe,Europe,,,,,,,,,,°C,,,,,2018,7,,2018,7,,,,,,,,,,98.21999062
2018-0140-BGD,2018,0140,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Kph,,,,,2018,4,29,2018,4,30,33,,,,,,,,98.21999062
2018-0018-BGD,2018,0018,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,3,°C,,,,,2018,1,1,2018,1,10,34,,,,,,,,98.21999062
2018-0158-BGD,2018,0158,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,Torrential Rain,,,,,,,3882,Km2,23.226,92.13,,,2018,5,20,2018,5,22,21,,14000,,14000,,,,98.21999062
2018-0220-BGR,2018,0220,Natural,Hydrological,Flood,,,,Affected,Bulgaria,BGR,Eastern Europe,Europe,"Plovdiv, Pazardjik, Sofia, Smolyan, Bourgas provinces",Torrential rain,,,,,,,78520,Km2,42.698,23.9,,,2018,6,28,2018,7,2,,,600,,600,,,,98.21999062
2018-0097-BLR,2018,0097,Natural,Hydrological,Flood,,,,Affected,Belarus,BLR,Eastern Europe,Europe,Chernichi (Gomel region); Brest; Grodno; Minsk; Mogilev; Vitebsk regions,,,,,,,,,Km2,,,,"Western Dvina, Neman and Pripyat rivers",2018,3,19,2018,4,19,,,50000,,50000,,,,98.21999062
2018-0478-BOL,2018,0478,Natural,Biological,Epidemic,Viral disease,,Influenza,Kill,Bolivia (Plurinational State of),BOL,South America,Americas,Santa Cruz department,,,,,,,,,Vaccinated,,,,,2018,4,15,2019,6,2,23,1428,,,1428,,,,98.21999062
2018-0415-BRA,2018,0415,Natural,Hydrological,Landslide,Landslide,,,Kill,Brazil,BRA,South America,Americas,"Niteroi, near Rio de Janeiro",Heavy rains,,,,,,,,,,,,,2018,11,10,2018,11,10,15,,,300,300,,,,98.21999062
2018-0112-BRA,2018,0112,Natural,Hydrological,Flood,,,,Affected,Brazil,BRA,South America,Americas,Sao Paulo,Torrential Rain,,,,,,,131278,Km2,-24.206,-48.623,,,2018,3,20,2018,3,21,3,,1000,,1000,,,43000,98.21999062
2018-0103-BWA,2018,0103,Natural,Hydrological,Flood,,,,Affected,Botswana,BWA,Southern Africa,Africa,"Gweta, Zoroga, Tsookotshaa vilalges (Central district, Mashonaland Central province)",Heavy rain,,,,,,,,Km2,,,,,2018,2,23,2018,3,22,,,4225,,4225,,,,98.21999062
2018-0437-CAF,2018,0437,Natural,Biological,Epidemic,Viral disease,,Hepatitis E,Affected,Central African Republic,CAF,Middle Africa,Africa,Bokarangue-Koui district,,,,,,,,,Vaccinated,,,,,2018,9,10,2018,11,18,1,119,,,119,,,,98.21999062
2018-0366-CAN,2018,0366,Natural,Meteorological,Storm,Convective storm,Tornado,,Affected,Canada,CAN,Northern America,Americas,Ottawa; Quebec province,,,,,,,,250,Kph,,,,,2018,9,21,2018,9,21,,30,900,,930,,,325000,98.21999062
2018-0195-CAN,2018,0195,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Canada,CAN,Northern America,Americas,"Gatineau, Montréal, Joliette, Saint-Hyacinthe, Saint-Jean-sur-Richelieu, Drummondville, Sherbrooke ,Outaouais, Laurentides, Lanaudière, Victoriaville Trois-Rivières, Québec, La Malbaie, Kamouraska, l’Abitibi-Témiscamingue, Saguenay—Lac-Saint-Jean (Quebec)",,,,,,,,37,°C,,,,,2018,6,29,2018,7,5,70,,,,,,,,98.21999062
2018-0160-CAN,2018,0160,Natural,Hydrological,Flood,,,,Affected,Canada,CAN,Northern America,Americas,British Columbia,Heavy Rain and Snowmelt,,,,,,,78669,Km2,50.358,-119.241,,,2018,5,10,2018,5,14,,,4000,,4000,,,,98.21999062
2018-0118-CHN,2018,0118,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,,Kill,China,CHN,Eastern Asia,Asia,"Jiangxi, Zheijiang, Anhui",,,,,,,,,Kph,,,,,2018,3,3,2018,3,3,14,,177000,,177000,,,147000,98.21999062
2018-0050-CHN,2018,0050,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Kill,China,CHN,Eastern Asia,Asia,"Anhui, Chongqing, Guizhou, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Shaanxi, Shanxi, Xinjiang",,,,,,,,,Kph,,,,,2018,1,2,2018,1,5,21,,2500000,3700,2503700,,,854000,98.21999062
2018-0474-CHN,2018,0474,Natural,Meteorological,Storm,Convective storm,Winter storm/Blizzard,,Affected,China,CHN,Eastern Asia,Asia,"Guangxi, Jiangxi, Zhejiang,Hunan, Hubei, Guizhou",,,,,,,,,Kph,,,,,2018,12,27,2018,12,31,,,1800000,,1800000,,,119300,98.21999062
2018-0215-CHN,2018,0215,Natural,Geophysical,Earthquake,Ground movement,,,Affected,China,CHN,Eastern Asia,Asia,Ningjiang (Jilin province),,,,,,,,5,Richter,45.279,124.557,01:50,,2018,5,28,2018,5,28,,,12000,,12000,,,29000,98.21999062
2018-0323-CHN,2018,0323,Natural,Geophysical,Earthquake,Ground movement,,,Affected,China,CHN,Eastern Asia,Asia,Yuxi (Yunnan province),,,,,,,,5,Richter,24.332,102.941,01:44,,2018,8,13,2018,8,13,,24,18000,,18024,,,50000,98.21999062
2018-0201-CHN,2018,0201,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Ewiniar',Kill,China,CHN,Eastern Asia,Asia,"Guangdong, Jiangxi, Fujian, and Zhejiang provinces, Hainan Island",,,,,,,,,Kph,,,,,2018,7,19,2018,7,19,14,,16200,,16200,,,570000,98.21999062
2018-0287-CHN,2018,0287,Natural,Meteorological,Storm,Tropical cyclone,,Tropical storm 'Ampil' (Inday),Affected,China,CHN,Eastern Asia,Asia,"Shangai, iJiangsu, Zhejiang, Shandong, Hebei",,,,,,,,,Kph,,,,,2018,7,22,2018,7,22,1,,18000,,18000,,,240000,98.21999062
2018-0309-CHN,2018,0309,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon 'Soulik',Waiting,China,CHN,Eastern Asia,Asia,,,,,,,,,,Kph,,,,,2018,8,22,2018,8,23,,,,,,,,79900,98.21999062
2018-0341-CHN,2018,0341,Natural,Meteorological,Storm,Tropical cyclone,,Typhoon Mangkut (Ompong),Kill,China,CHN,Eastern Asia,Asia,Shenzhen,,,,,,,,,Kph,,,,,2018,9,10,2018,9,18,,,,,,,,770000,98.21999062
2018-0159-CHN,2018,0159,Natural,Hydrological,Flood,,,,Affected,China,CHN,Eastern Asia,Asia,Guangxi Zhuang Autonomous,Heavy rain,,,,,,,109610,Km2,23.812,108.795,,,2018,5,7,2018,5,16,5,,70000,,70000,,,,98.21999062
2018-0210-CHN,2018,0210,Natural,Hydrological,Flood,,,,Kill,China,CHN,Eastern Asia,Asia,"Jiangxi, Hebei, Shanxi, Jiangsu, Shandong, Henan, Hubei, Shaanxi, Sichuan, Guizhou, Gansu, Chongqing",Heavy rains,,,,,,,,Km2,,,,Yangtze river,2018,5,7,2018,5,30,77,,225000,,225000,,,373000,98.21999062
2018-0211-CHN,2018,0211,Natural,Hydrological,Flood,,,,Affected,China,CHN,Eastern Asia,Asia,"Fujian, Guangdong, Guangxi",,,,,,,,,Km2,,,,,2018,5,7,2018,5,14,2,,6000,,6000,,,67000,98.21999062
2018-0250-CHN,2018,0250,Natural,Hydrological,Flood,,,,Kill,China,CHN,Eastern Asia,Asia,"Deyang, Mianyang, Guangyuan prefectures (Sichuan province)","Typhoon Prapiroon, Typhoon Maria",,,,,,,,Km2,,,,,2018,7,7,2018,7,7,3,,1381000,,1381000,,,781283,98.21999062
